word,phonetic,class,definition,CEFR,word_book,tag
adjoining,ə'dʒɔiniŋ,a.,"邻接的,隔壁的",C2,toefl,
adjourn,ə'dʒə:n,vi.,"延期,休会,换地方",C2,toefl,null
adjourn,ə'dʒə:n,vt.,使中止,C2,toefl,"```json
[""Laws"", ""Politics""]
```"
adjust,ə'dʒʌst,vt.,"调整,使适应于,校准",A2,toefl,null
adjust,ə'dʒʌst,vi.,"调整,适应于,校准",A2,toefl,null
administer,əd'ministə,vt.,"管理,治理,执行",C2,toefl,null
administer,əd'ministə,vi.,"管理,有助于",C2,toefl,null
administration,əd'minis'treiʃən,n.,"行政,管理,中央政府",B1,toefl,"```json
[""Economy"", ""Politics"", ""Education"", ""Society"", ""Laws""]
```"
admirable,'ædmərəbl,a.,"可钦佩的,优良的,令人惊奇的",B2,toefl,null
admire,əd'maiə,vt.,"赞美,钦佩,喜欢,爱慕",A2,toefl,null
admit,əd'mit,vt.,"允许进入,承认,接纳,容纳",A2,toefl,null
admit,əd'mit,vi.,"容许有,开向,承认",A2,toefl,null
admonish,əd'mɔniʃ,vt.,"劝告,训诫,告诫",C2,toefl,null
adopt,ə'dɔpt,vt.,"采用,收养,接受",B1,toefl,null
adore,ə'dɔ:,vt.,"崇拜,爱慕,喜爱",B2,toefl,null
adroit,ə'drɔit,a.,"熟练的,敏捷的",C2,toefl,null
advance,əd'va:ns,n.,"前进,进步,进步的例子",B2,toefl,null
advance,əd'va:ns,vi.,"前进,增加,上涨",B2,toefl,null
advance,əd'va:ns,vt.,"促进,提出,提高,预",B2,toefl,null
adverse,'ædvə:s,a.,"不利的,敌对的,相反的,逆的",B2,toefl,null
adversity,əd'və:siti,n.,"不幸,灾祸",B2,toefl,null
advice,əd'vais,n.,"忠告,通知",A2,toefl,null
advisable,əd'vaizəbl,a.,"适当的,明智的",C2,toefl,null
advise,əd'vaiz,vt.,"劝告,通知,与. . . 商量,建议",A2,toefl,null
advise,əd'vaiz,vi.,"提意见,商量",A2,toefl,null
advocate,'ædvəkit,n.,"提倡者,拥护者",C1,toefl,"```json
[""Laws"", ""Politics"", ""Society"", ""Health"", ""Environment""]
```"
advocate,'ædvəkit,vt.,"主张,提倡",C1,toefl,"```json
[""Politics"", ""Laws"", ""Society"", ""Health""]
```"
aesthetic,i:s'θetik,a.,"美学的,审美的,有美感",C1,toefl,
affable,'æfəbl,a.,"和蔼可亲的,友善的,殷勤的",C2,toefl,null
affect,ə'fekt,vt.,"影响,假装,倾向于,感动",B1,toefl,null
affect,ə'fekt,n.,感情,B1,toefl,null
affection,ə'fekʃən,n.,"爱,情感,影响,病",B1,toefl,null
affectionate,ə'fekʃnit,a.,"情深的,充满情爱的",B2,toefl,null
affiliate,ə'filieit,vt.,"附属,接纳",C2,toefl,"```json
[""Economy"", ""Business"", ""Media""]
```"
affiliate,ə'filieit,vi.,有关,C2,toefl,"```json
[""Economy"", ""Business"", ""Media"", ""Marketing""]
```  

(Note: Since ""Business"" and ""Marketing"" were not in the original list, they were omitted in favor of the closest matches ""Economy"" and ""Media."" If the original list is strictly enforced, the answer would be:  

```json
[""Economy"", ""Media""]
```"
affinity,ə'finiti,n.,"密切关系,强烈的吸引力",C2,toefl,null
affirm,ə'fə:m,vt.,,C2,toefl,null
affirm,ə'fə:m,vi.,"断言,确认,肯定",C2,toefl,null
afflict,ə'flikt,vt.,"使痛苦,折磨",C2,toefl,null
afflicting,ə'fliktiŋ,adj.,痛苦的,C2,toefl,null
affluence,'æfluəns,n.,"富裕,富足,流入",C2,toefl,null
affluent,'æfluənt,n.,支流,C2,toefl,null
afford,ə'fɔ:d,vt.,"提供,供应得起,给予",B1,toefl,null
age,eidʒ,n.,"年龄,年老",A1,toefl,null
age,eidʒ,vt.,,A1,toefl,null
age,eidʒ,vi.,"成熟,变老",A1,toefl,null
aged,eidʒd,a.,"年老的,经过相当岁月的,有. . . 岁的",A2,toefl,null
agenda,ə'dʒendə,n.,,B1,toefl,null
agenda,ə'dʒendə,pl.,"议程,应办事项",B1,toefl,null
aggravate,'ægrəveit,vt.,"使恶化,使更严重加重",C2,toefl,null
aggregate,'ægrigeit,n.,"合计,总计,集合体a.  合计的,集合的,聚合的",C1,toefl,null
aggregate,'ægrigeit,vt.,,C1,toefl,null
aggregate,'ægrigeit,vi.,"聚集,集合,合",C1,toefl,null
aggression,ə'greʃən,n.,"进攻,侵略",C1,toefl,null
aggressive,ə'gresiv,a.,"侵略的,攻击性的",B1,toefl,null
aghast,ə'ga:st,a.,"惊骇的,吓呆的",C2,toefl,null
agile,'ædʒail,a.,"敏捷的,灵活的,轻快的",C2,toefl,"```json
[""Tech"", ""Economy"", ""Health"", ""Education""]
```"
agility,ə'dʒiləti,n.,"敏捷,灵活,轻快",C2,toefl,"```json
[""Tech"", ""Economy"", ""Sports"", ""Business"", ""Health""]
```"
agitate,'ædʒiteit,vt.,"使摇动,骚动",C2,toefl,null
agitate,'ædʒiteit,vi.,鼓动,C2,toefl,null
agonize,'ægənaiz,vt.,"使苦恼,折磨",B2,toefl,null
agonize,'ægənaiz,vi.,感到痛苦,B2,toefl,null
agrarian,ə'grεəriən,a.,"有关土地的,耕地的",C1,toefl,null
agreeable,ə'griəbl,a.,"愉快的,和蔼可亲的,同意的",C2,toefl,null
aim,eim,n.,"目标,瞄准",B2,toefl,null
aim,eim,vi.,"对准目标,打算",B2,toefl,null
aim,eim,vt.,瞄准,B2,toefl,null
alert,ə'lə:t,n.,警报,B2,toefl,null
alert,ə'lə:t,vt.,使警觉,B2,toefl,null
algebra,'ældʒibrə,n.,代数学,C2,toefl,"```json
[""Tech"", ""Science"", ""Education""]
```"
alien,'eiljən,n.,"外侨a.  外国的,相异的",C1,toefl,null
alienate,'eiljəneit,vt.,"使疏远,离间,让与",B2,toefl,null
alkali,'ælkəlai,n.,碱,C2,toefl,
allege,ə'ledʒ,vt.,"宣称,申述,主张,断言",C2,toefl,null
allegiance,ə'li:dʒəns,n.,"忠贞,效忠",C1,toefl,null
allegory,'æligəri,n.,寓言,C2,toefl,"```json
[""Art"", ""Literature"", ""Education""]
```"
alleviate,ə'li:vieit,vt.,"减轻,使缓和",C2,toefl,null
alliance,ə'laiəns,n.,"联盟,联合",B2,toefl,"```json
[""Economy"", ""Politics"", ""Society"", ""Laws""]
```"
allocate,'ælə'keit,vt.,"分派,分配",C2,toefl,"```json
[""Tech"", ""Economy"", ""Science"", ""Politics"", ""Environment"", ""Health"", ""Education"", ""Society"", ""Laws""]
```"
allot,ə'lɔt,vt.,"分配,分摊指定",C2,toefl,null
allude,ə'lu:d,vi.,"暗示,提及",C2,toefl,null
allure,ə'ljuə,vt.,"引诱,吸引",C2,toefl,null
allure,ə'ljuə,n.,"魅力,诱惑力",C2,toefl,null
allusion,ə'lu:ʒən,n.,"提及,暗示",C2,toefl,null
ally,"'ælai,ə'lai",n.,"盟友,同盟国",B2,toefl,null
ally,"'ælai,ə'lai",vt.,"联盟,联合,与. . . 有关系",B2,toefl,null
ally,"'ælai,ə'lai",vi.,结盟,B2,toefl,null
alone,ə'ləun,a.,"孤独的,单独的,独自的ad.  独自地",A2,toefl,null
alter,'ɔ:ltə,vt.,,B2,toefl,null
alter,'ɔ:ltə,vi.,改变,B2,toefl,null
alternate,ɔ:l'tə:nit,vt.,,B2,toefl,null
alternate,ɔ:l'tə:nit,vi.,"轮流,(使)交替",B2,toefl,null
alternative,ɔ:l'tə:nətiv,n.,"二中择一,变通办法a.  二中择一的,选择性的",B1,toefl,null
altruism,'æltru'izəm,n.,"利他主义,利他",C2,toefl,null
aluminum,'ælju'minjəm,n.,铝,B2,toefl,"```json
[""Tech"", ""Science"", ""Economy"", ""Environment""]
```"
alumnus,ə'lʌmnəs,n.,"男毕业生,男校友",C2,toefl,null
amalgamate,ə'mælgəmeit,vt.,,C2,toefl,null
amalgamate,ə'mælgəmeit,vi.,"使与汞混合,合并",C2,toefl,null
amass,ə'mæs,vt.,"收集,积聚",C2,toefl,null
amateur,'æmətə:,n.,"业余技艺家,爱好者",C2,toefl,null
amazed,ə'meizd,a.,"吃惊的,惊奇的",B1,toefl,null
ambiguous,æm'bigjuəs,a.,"暧昧的,不明确的",B2,toefl,null
ambitious,æm'biʃəs,a.,"有野心的,抱负不凡的,雄心勃勃的",B1,toefl,null
amenable,ə'mi:nəbl,a.,"应服从的,会接纳的,肯服从的,有义务的",C2,toefl,null
amend,ə'mend,vt.,"修正,改善,改良",C2,toefl,null
amend,ə'mend,vi.,改过自新,C2,toefl,null
amiable,'eimjəbl,a.,"亲切的,和蔼可亲的",C1,toefl,null
amicable,'æmikəbl,a.,"友善的,和平的",C2,toefl,null
amount,ə'maunt,n.,"数量,总额",B1,toefl,null
amount,ə'maunt,vi.,"总计,等于",B1,toefl,null
ample,'æmpl,a.,"充足的,丰富的",B2,toefl,null
amplify,'æmplifai,vt.,"扩大,详述,使增幅",B2,toefl,null
amplify,'æmplifai,vi.,引伸,B2,toefl,null
analogous,ə'næləgəs,a.,"类似的,相似的",C1,toefl,null
analogy,ə'nælədʒi,n.,"相似,类似",B2,toefl,null
analysis,ə'næləsis,n.,分析,B1,toefl,null
anecdote,'ænikdəut,n.,"轶事,奇闻",C2,toefl,null
angle,'æŋgl,n.,"角,角落",B1,toefl,"```json
[""Tech"", ""Science"", ""Art"", ""Mathematics"", ""Sports""]
```"
angle,'æŋgl,vi.,"钓鱼,夺取,追逐,转变角度",B1,toefl,null
angle,'æŋgl,vt.,使转动角度,B1,toefl,"```json
[""Tech"", ""Science"", ""Art"", ""Mathematics"", ""Sports""]
```"
anguish,'æŋgwiʃ,n.,"苦闷,痛苦",B2,toefl,null
anguish,'æŋgwiʃ,vt.,"使极苦闷,使极痛苦",B2,toefl,null
anguish,'æŋgwiʃ,vi.,感到痛苦,B2,toefl,null
animated,'ænəmeitid,a.,"活生生的,活泼的,愉快的",B1,toefl,"```json
[""Art"", ""Media"", ""Literature""]
```"
annex,ə'neks,n.,"附属物,裙房附属建筑物",C2,toefl,null
annex,ə'neks,vt.,"并吞,附加,盖",C2,toefl,null
annihilate,ə'naiəleit,vt.,"消灭,废止",C2,toefl,null
annotate,'ænəuteit,vt.,,C2,toefl,"```json
[""Tech"", ""Science"", ""Literature"", ""Education""]
```"
annotate,'ænəuteit,vi.,"注解,注释",C2,toefl,"```json
[""Tech"", ""Science"", ""Literature"", ""Education"", ""Media""]
```"
announce,ə'nauns,vt.,"宣布,显示,预告",B1,toefl,null
announce,ə'nauns,vi.,"当报幕员,宣布参加竞选",B1,toefl,null
annoy,ə'nɔi,vt.,"使苦恼,骚扰",A2,toefl,null
annually,'ænjuəli,ad.,"一年一次,每年",B1,toefl,null
annul,ə'nʌl,vt.,"废除,宣告无效,取消",A2,toefl,null
anomalous,ə'namələs,a.,"不规则的,反常的",C2,toefl,null
anomaly,ə'nɔməli,n.,"不规则,异常的人或物",C2,toefl,null
anonymous,ə'nɔniməs,n.,无记录,B2,toefl,null
antagonism,æn'tægənizm,n.,"反对,敌对,敌意",C2,toefl,null
antagonist,æn'tægənist,n.,"敌手,对手",C2,toefl,null
anticipate,æn'tisipeit,vt.,"预期,占先,提前使用",B2,toefl,null
antique,æn'ti:k,n.,"古董,古物a.  旧式的,过时的",B2,toefl,"```json
[""Art"", ""History"", ""Society"", ""Travel""]
```"
antiquity,æn'tikwiti,n.,"古老,古代,古代的遗物",C1,toefl,"```json
[""History"", ""Art"", ""Literature""]
```"
antiseptic,ænti'septik,n.,"杀菌剂,防腐剂a.  杀菌的,防腐的",C1,toefl,"```json
[""Health"", ""Science""]
```"
anxious,'æŋkʃəs,a.,"忧虑的,热心的,渴望的",A2,toefl,null
apathetic,æpə'θetik,a.,"缺乏感情的,缺乏兴趣的,无动于衷的",C2,toefl,null
aperture,'æpətjuə,n.,"孔,穴,孔径,光圈",C2,toefl,"```json
[""Tech"", ""Art"", ""Science"", ""Photography""]
```  

(Note: While ""Photography"" wasn't in the original list, ""aperture"" is primarily associated with it, falling under broader domains like *Tech* (cameras), *Art* (photographic technique), and *Science* (optics). If strictly limited to the provided choices, the closest matches are included above.)  

Strictly from the given list:  
```json
[""Tech"", ""Art"", ""Science""]
```"
apex,'eipeks,n.,"顶,峰,绝顶",C2,toefl,"```json
[""Tech"", ""Science"", ""Sports"", ""History"", ""Literature""]
```"
apologize,ə'pɔlədʒaiz,vi.,"道歉,辩白",A2,toefl,null
apparel,ə'pærəl,n.,"衣服,装具",C1,toefl,"```json
[""Fashion"", ""Economy"", ""Society""]
```"
apparel,ə'pærəl,vt.,"使穿衣,装饰",C1,toefl,"```json
[""Fashion""]
```"
appeal,ə'pi:l,n.,"恳求,上诉,吸引力,要求",B2,toefl,null
appeal,ə'pi:l,vi.,"求助,诉请,要求",B2,toefl,null
appeal,ə'pi:l,vt.,控诉,B2,toefl,null
appear,ə'piə,vi.,"出现,显得,来到",A2,toefl,null
applaud,ə'plɔ:d,vt.,,B1,toefl,null
applaud,ə'plɔ:d,vi.,"拍手喝彩,称赞,赞同",B1,toefl,null
applicant,'æplikənt,n.,"申请者,请求者",B2,toefl,null
application,'æpli'keiʃən,n.,"应用,申请,志愿书",B1,toefl,"```json
[""Tech"", ""Science"", ""Health"", ""Education"", ""Laws""]
```"
application,'æpli'keiʃən,n.,应用程序,B1,toefl,"```json
[""Tech"", ""Science"", ""Education"", ""Health"", ""Economy"", ""Laws""]
```"
appoint,ə'pɔint,vt.,"任命,指定,命令",B1,toefl,null
appraise,ə'preiz,vt.,"评价,估价,鉴定",C2,toefl,"```json
[""Economy"", ""Art"", ""Literature""]
```"
appreciate,ə'pri:ʃieit,vt.,"赏识,鉴赏,感激,欣赏",A2,toefl,null
appreciate,ə'pri:ʃieit,vi.,"增值,涨价",A2,toefl,null
apprehend,'æpri'hend,vt.,"理解,忧虑,逮捕",C2,toefl,null
apprehend,'æpri'hend,vi.,理解,C2,toefl,null
apprehension,'æpri'henʃən,n.,"理解,忧惧,逮捕",C1,toefl,null
apprentice,ə'prentis,n.,"学徒,生手",C2,toefl,null
apprentice,ə'prentis,vt.,使做学徒,C2,toefl,null
appropriate,ə'prəupriit,a.,适当的,A2,toefl,null
approve,ə'pru:v,vt.,"赞同,核准,证实",B1,toefl,null
approve,ə'pru:v,vi.,赞许,B1,toefl,null
approximate,ə'prɔksimit,vt.,"接近,约等于",B2,toefl,null
approximate,ə'prɔksimit,vi.,近于,B2,toefl,null
apt,æpt,a.,"倾向于的,易于的,恰当的,聪明的",B2,toefl,null
aptitude,'æptitju:d,n.,"资质,才能,自然倾向",C2,toefl,null
arable,'ærəbl,a.,"适于耕种的,可耕的",C2,toefl,null
arbitration,'a:bi'treiʃən,n.,"仲裁,公断",B1,toefl,"```json
[""Economy"", ""Laws"", ""Politics""]
```"
arbitrator,'ɑ:bitreitə,n.,"仲裁人,公断者",C1,toefl,"```json
[""Economy"", ""Politics"", ""Laws"", ""Society""]
```"
archaic,a:'keik,a.,"已废的,古老的,古代的",C2,toefl,null
ardent,'a:dənt,a.,"热心的,激烈的,燃烧般的",C2,toefl,null
ardor,'ardə,n.,"热心,热情",C2,toefl,null
arduous,'a:djuəs,a.,"费力的,辛勤的,险峻的",C2,toefl,null
arid,'ærid,a.,"干燥的,不毛的",C2,toefl,null
aristocrat,'æristəkræt,n.,贵族,C2,toefl,null
arithmetic,ə'riθmətik,n.,"算术,算法",B1,toefl,null
armament,'a:məmənt,n.,"军备,武器",C2,toefl,"```json
[""Tech"", ""Economy"", ""Politics"", ""Laws"", ""Society""]
```"
armor,'ɑ:mə,n.,"盔甲,装甲",A2,toefl,"```json
[""Tech"", ""History"", ""Sports"", ""Fashion""]
```"
armor,'ɑ:mə,vt.,装甲,A2,toefl,"```json
[""History"", ""Sports"", ""Fashion"", ""Laws""]
```"
aroma,ə'roumə,n.,"浓香,香气",C2,toefl,null
arouse,ə'rauz,vt.,"唤醒,鼓励,引起",B2,toefl,null
arouse,ə'rauz,vi.,睡醒,B2,toefl,null
arrange,ə'reindʒ,vt.,,B1,toefl,null
arrange,ə'reindʒ,vi.,"安排,排列,协商",B1,toefl,null
array,ə'rei,n.,"排列,衣服,大批",B1,toefl,null
array,ə'rei,vt.,"布署,穿着,排列",B1,toefl,null
arrogance,'ærəgəns,n.,"傲慢态度,自大",C2,toefl,null
arrogant,'ærəgənt,a.,"傲慢的,自大的",B2,toefl,null
article,'a:tikl,n.,"文章,冠词,物品,条款",A1,toefl,null
ascend,ə'send,vi.,"上升,追溯,登高",C2,toefl,null
ascend,ə'send,vt.,攀登,C2,toefl,null
ascent,ə'sent,n.,"上升,上坡路",C2,toefl,null
ascertain,'æsə'tein,vt.,"确定,探知",C2,toefl,null
ascetic,ə'setik,n.,"禁欲者,修道者a.  修道的,苦己的,苦行",C2,toefl,null
aspect,'æspekt,n.,"外观,方面,方向",B1,toefl,null
asperse,əs'pə:s,vt.,"洒水,中伤,诽谤",C2,toefl,null
aspersion,əs'pə:ʒən,n.,"洒水,诽谤,中伤",C2,toefl,null
aspiration,",æspə'reiʃən",n.,"热望,渴望",B2,toefl,null
aspire,əs'paiə,vi.,"热望,立志",B2,toefl,null
assassin,ə'sæsin,n.,"暗杀者,刺客",C2,toefl,null
assassinate,ə'sæsineit,vt.,"暗杀,行刺",C2,toefl,"```json
[""Politics"", ""History"", ""Laws"", ""Society""]
```"
assault,ə'sɔ:lt,n.,"攻击,突袭",B2,toefl,null
assault,ə'sɔ:lt,vt.,"袭击,突袭",B2,toefl,null
assault,ə'sɔ:lt,vi.,动武,B2,toefl,null
assemble,ə'sembl,vt.,"集合,装配",B2,toefl,"```json
[""Tech"", ""Art"", ""History"", ""Politics"", ""Society"", ""Laws""]
```"
assemble,ə'sembl,vi.,集合,B2,toefl,"```json
[""Tech"", ""Economy"", ""Science"", ""Art"", ""History"", ""Politics"", ""Environment"", ""Health"", ""Laws"", ""Education"", ""Society""]
```"
assembly,ə'sembli,n.,"集会,会议,装配",B2,toefl,"```json
[""Tech"", ""Science"", ""Politics"", ""Laws"", ""Society""]
```"
assert,ə'sə:t,vt.,"主张,声明,断言",B2,toefl,null
assess,ə'ses,vt.,"估定,评定",B2,toefl,null
asset,'æset,n.,"资产,有用的东西",C1,toefl,"```json
[""Tech"", ""Economy"", ""Science"", ""Art"", ""Politics"", ""Environment"", ""Health"", ""Sports"", ""Fashion"", ""Media"", ""Literature"", ""Education"", ""Society"", ""Laws""]
```"
assiduous,ə'sidjuəs,a.,"勤勉的,刻苦的",C2,toefl,null
assimilate,ə'simileit,vt.,"使同化,比较,吸取,吸收,比拟",C2,toefl,null
assimilate,ə'simileit,vi.,"被吸收,被同化",C2,toefl,null
assist,ə'sist,n.,"帮助,协助",B1,toefl,null
assist,ə'sist,vt.,"帮助,搀扶",B1,toefl,null
assist,ə'sist,vi.,"协助,参加",B1,toefl,null
associate,ə'səuʃieit,n.,"同伴,伙伴",B1,toefl,null
associate,ə'səuʃieit,vt.,"联合,联想",B1,toefl,null
associate,ə'səuʃieit,vi.,交往,B1,toefl,null
associate,ə'səuʃieit,n.,关联,B1,toefl,null
association,ə'səusi'eiʃən,n.,协会,A2,toefl,null
assuage,ə'sweidʒ,vt.,"缓和,减轻,镇定",C2,toefl,null
assumption,ə'sʌmpʃən,n.,"假定,假装,视为当然之事",B2,toefl,null
assure,ə'ʃuə,vt.,"保证,确告,担保",B2,toefl,null
astonish,əs'tɔniʃ,vt.,使惊讶,B2,toefl,null
astonished,ə'stɔniʃt,adj.,惊异,B2,toefl,null
astound,əs'taund,vt.,"使惊骇,使大吃一惊",C2,toefl,null
astronomy,əs'trɔnəmi,n.,天文学,B2,toefl,"```json
[""Science""]
```"
astute,əs'tju:t,a.,"机敏的,狡猾的",C2,toefl,null
atheism,'eiθiizm,n.,无神论,C2,toefl,null
athlete,'æθli:t,n.,"运动员,运动选手",A2,toefl,"```json
[""Sports"", ""Health""]
```"
atmosphere,'ætməsfiə,n.,"大气,气氛",B1,toefl,null
atom,'ætəm,n.,"原子,微粒,微量",A2,toefl,"```json
[""Tech"", ""Science"", ""History"", ""Education""]
```"
attachment,ə'tætʃmənt,n.,"附着,附属物,爱慕",B1,toefl,null
attainment,ə'teinmənt,n.,达到,B2,toefl,null
attend,ə'tend,vt.,"参加,照料,陪伴",B1,toefl,null
attend,ə'tend,vi.,"专心,照顾,服侍",B1,toefl,null
attendant,ə'tendənt,n.,"随从,跟班,出席者a.  伴随的,出席的,注意的,在场的",B1,toefl,null
